     open      high      low    close  volume       EMA_12       EMA_26
 3314.300  3314.300  3313.57  3313.57     595  3318.209652  3319.235692
 3315.680  3315.680  3315.01  3315.01     262  3317.717398  3318.922678
 3314.650  3314.800  3314.65  3314.80     246  3317.268567  3318.617294
 3318.470  3318.470  3318.31  3318.31     560  3317.428788  3318.594532
 3315.385  3315.385  3315.35  3315.35     304  3317.108974  3318.354196     open      high      low    close  volume       EMA_12       EMA_26
 3314.300  3314.300  3313.57  3313.57     595  3318.209652  3319.235692
 3315.680  3315.680  3315.01  3315.01     262  3317.717398  3318.922678
 3314.650  3314.800  3314.65  3314.80     246  3317.268567  3318.617294
 3318.470  3318.470  3318.31  3318.31     560  3317.428788  3318.594532
 3315.385  3315.385  3315.35  3315.35     304  3317.108974  3318.354196
