    open     high      low    close  volume      EMA_12      EMA_26
 780.500  781.980  780.500  781.930    1909  781.970629  781.851117
 781.570  782.395  781.560  782.390    1527  782.035147  781.891034
 782.440  783.910  782.440  783.700    1488  782.291279  782.025032
 783.590  783.590  782.785  782.785     793  782.367236  782.081326
 782.295  782.365  781.935  781.935     834  782.300738  782.070487    open     high      low    close  volume      EMA_12      EMA_26
 780.500  781.980  780.500  781.930    1909  781.970629  781.851117
 781.570  782.395  781.560  782.390    1527  782.035147  781.891034
 782.440  783.910  782.440  783.700    1488  782.291279  782.025032
 783.590  783.590  782.785  782.785     793  782.367236  782.081326
 782.295  782.365  781.935  781.935     834  782.300738  782.070487
